Name;Glottocode;ISOCODE
Ainu (Southern Hokkaido);ainu1240;ain
Balinese;bali1278;ban
Bezhta;bezh1248;kap
Bora;bora1263;boa
Chintang;chhi1245;ctn
Eastern Armenian (standard Eastern Armenian);east2283;hye
Emai;emai1241;ema
English;stan1293;eng
Even;even1260;eve
Evenki;even1259;evn
German (Standard);stan1295;deu
Hokkaido Japanese;hokk1249;
Hoocąk (Wisconsin Hoocąk);hoch1243;win
Icelandic;icel1247;isl
Italian (Standard Italian);ital1282;ita
Jakarta Indonesian;indo1316;ind
Jaminjung (Both Jaminjung and Ngaliwurru varieties);djam1255;djd
Japanese (standard);nucl1643;jpn
Ket;kett1243;ket
Korean (Spoken Korean as used in and around Seoul);kore1280;kor
Mandarin Chinese (PTH);mand1415;cmn
Mandinka;mand1436;mnk
Mapudungun;mapu1245;arn
Mitsukaido Japanese;east2526;
Modern Standard Arabic (Modern Standard Arabic);stan1318;arb
Nen;nenn1238;nqn
Nǀǀng;nuuu1241;ngh
Ojibwe (Odawa);otta1242;otw
Russian;russ1263;rus
Sliammon;como1259;coo
Sri Lanka Malay;sril1245;sci
Xârâcùù;xara1244;ane
Yaqui;yaqu1251;yaq
Yorùbá (Standard Yoruba);yoru1245;yor
Yucatec Maya (dialect of Quintana Roo, zona maya);yuca1254;yua
Zenzontepec Chatino;zenz1235;czn
