Mapudungun;Traduccion;Significado;Autor;Pagina
vùrenyevoeema ;O clemente;3;Valdivia;NA
cutranyevoe ema ;O piadosa;3;Valdivia;NA
Dehúm Virgen Maria ema ;o dulce Virgen Maria;3;Valdivia;NA
Inche ñi ayúñel pu peñiema;Hermanos míos muy amados;3;Valdivia;1
votùm ema ;Hijos mios;3;Valdivia;1
votùm ema ;Hijos mios;3;Valdivia;3
dios ema ;Dios mío;3;Valdivia;6
pu peñi ema ;Hermanos ;3;Valdivia;6
A pu votum ema  ;Hijos míos;3;Valdivia;10
peñi ema  ;Hermanos y hermanas míos;3;Valdivia;13
lamuen ema ;Hermanos y hermanas míos;3;Valdivia;13
peñi ema ;Hermanos ;3;Valdivia;14
ñi ayúvalel pu peñi ema;Hermanos míos amables;3;Valdivia;15
votùm ema ;Hijos míos;3;Valdivia;21
A dios ema ;A Dios mío;3;Valdivia;22
pu peñi ema ;NA;3;Valdivia;22
Pu peñi pu lamuen ema ;Hermanos y hermanas mías;3;Valdivia;23
реñі ema ;Hermanos míos ;3;Valdivia;24
dios ema ;A Dios mío;3;Valdivia;24
votùm ema ;hijos míos;3;Valdivia;27
votum ema ;hijos mios;3;Valdivia;28
votùm ema ;hijos mios;3;Valdivia;29
Pu peñi emainche ta ñi aldú ayuel ;Hermanos míos, muy amados;3;Valdivia;29
dios ema ;Dios mío;3;Valdivia;30
votùm ema ;hijos mios;3;Valdivia;32
votùm ema ;hijos mios;3;Valdivia;33
peñi ema ;hermanos míos;3;Valdivia;35
dios ema ;Dios mío;3;Valdivia;36
apo ema ;Señor mío;3;Valdivia;36
peñi ema ;Hermanos míos ;3;Valdivia;36
peni ema ;Hermanos míos;3;Valdivia;37
dios ema ;Dios mío;3;Valdivia;39
apo ema  ;Señor mío;3;Valdivia;39
dios ema  ;Dios mío;3;Valdivia;39
pu peñi ema ;hermanos míos;3;Valdivia;40
votùm ema  ;Hijos míos;3;Valdivia;43
angel ema ;Angel mío;3;Valdivia;47
Eymi Dios ta iñ apo ema ;Tu Dios, y Señor mío;3;Valdivia;48
peñi ema ;hermanos míos;3;Valdivia;49
A dios ema ;A Dios mío;3;Valdivia;52
pu peñi ema ;hermanos míos;3;Valdivia;53
votùm ema  ;Hijos míos;3;Valdivia;58
pu peñi ema ;hermanos míos;3;Valdivia;62
pu peñi ema ;hermanos míos;3;Valdivia;63
votùm ema ;Hijos míos;3;Valdivia;68
votùm ema ;HIjos míos;3;Valdivia;70
votùm ema ;Hijos míos;3;Valdivia;73
dios ema  ;Dios mío;3;Valdivia;73
Iesu christo ema  ;Nuestro Señor Jesucristo;3;Valdivia;73
pu peñi ema ;Hermanos míos;3;Valdivia;74
christo ema  ;Nuestro Señor Jesucristo;3;Valdivia;75
peñi ema ;Hermanos míos;3;Valdivia;75
dios ema ;NA;3;Febres;90
vurenievoe ema  ;NA;3;Febres;187
cuthanyevoe ema  ;NA;3;Febres;187
maria ema  ;NA;3;Febres;187
dios ema   ;NA;3;Febres;188
chao ema   ;NA;3;Febres;188
dios ema  ;NA;3;Febres;188
dios ema  ;NA;3;Febres;188
chao ema ;NA;3;Febres;188
dios ema  ;NA;3;Febres;204
dios ema  ;NA;3;Febres;211
chao ema  ;NA;3;Febres;211
dios ema      ;NA;3;Febres;222
peñi ema  ;NA;3;Febres;258
vochùm ema ;NA;3;Febres;258
peñi ema ;NA;3;Febres;287
votm ema ;Hijo mío;3;Valdivia;NA
votm ema ;Hijo mío;3;Valdivia;NA
votm ema ;Hijo mío;3;Valdivia;NA
dios ema ;Dios mío;3;Valdivia;NA
A dios ema ;A mi dios;3;Valdivia;NA
Patiru ema!;NA;3;Havedstat;NA
pu peñi ema, pu lamúen ema;NA;3;Havedstat;NA
burenievoe ema;NA;3;Havedstat;NA
cutanievoe ema;NA;3;Havedstat;NA
quimhuentunoluchi ullcha ema;NA;3;Havedstat;NA
Allcútumochi pu peni ema;NA;3;Havedstat;NA
inche em!;o me miserum;4;Havedstat;89
papai em!;(filius matrem vocat);3;Havedstat;90
aiuel em;NA(querido/a);3;Havedstat;90
Patiru em!;o Pater mi!;3;Havedstat;90
gebui em vachi dgu;sic erat olim in seculo illo aureo;0;Havedstat;90
calcu em;magus antiquus;2;Havedstat;90
cona em;miles veteranus;2;Havedstat;90
ovisa em!;o quanta ovium multitudo!;3;Havedstat;90
cume tipantu em!;o annum felicem faustumque!;3;Havedstat;90
cumei em ta DIOS;o quam bonus est DEUS!;3;Havedstat;90
Mapu em!;o dilecta Patria;3;Havedstat;90
Votm em;Filiole;3;Havedstat;90
Patiru em;plurimum dilecte Pater;3;Havedstat;90
atún em;nonnihil defatigatus sum;3;Havedstat;90
