;Mapudungun;Traduccion;Significado;Página
;vùrenyevoeema ;O clemente;3;NA
;cutranyevoe ema ;O piadosa;3;NA
;Dehúm Virgen Maria ema ;o dulce Virgen Maria;3;NA
;Inche ñi ayúñel pu peñiema;Hermanos míos muy amados;3;1
;votùm ema ;Hijos mios;3;1
;votùm ema ;Hijos mios;3;3
;dios ema ;Dios mío;3;6
;pu peñi ema ;Hermanos ;3;6
;A pu votum ema  ;Hijos míos;3;10
;peñi ema  ;Hermanos y hermanas míos;3;13
;lamuen ema ;Hermanos y hermanas míos;3;13
;peñi ema ;Hermanos ;3;14
;ñi ayúvalel pu peñi ema;Hermanos míos amables;3;15
;votùm ema ;Hijos míos;3;21
;A dios ema ;A Dios mío;3;22
;pu peñi ema ;NA;3;22
;Pu peñi pu lamuen ema ;Hermanos y hermanas mías;3;23
;реñі ema ;Hermanos míos ;3;24
;dios ema ;A Dios mío;3;24
;votùm ema ;hijos míos;3;27
;votum ema ;hijos mios;3;28
;votùm ema ;hijos mios;3;29
;Pu peñi emainche ta ñi aldú ayuel ;Hermanos míos, muy amados;3;29
;dios ema ;Dios mío;3;30
;votùm ema ;hijos mios;3;32
;votùm ema ;hijos mios;3;33
;peñi ema ;hermanos míos;3;35
;dios ema ;Dios mío;3;36
;apo ema ;Señor mío;3;36
;peñi ema ;Hermanos míos ;3;36
;peni ema ;Hermanos míos;3;37
;dios ema ;Dios mío;3;39
;apo ema  ;Señor mío;3;39
;dios ema  ;Dios mío;3;39
;pu peñi ema ;hermanos míos;3;40
;votùm ema  ;Hijos míos;3;43
;angel ema ;Angel mío;3;47
;Eymi Dios ta iñ apo ema ;Tu Dios, y Señor mío;3;48
;peñi ema ;hermanos míos;3;49
;A dios ema ;A Dios mío;3;52
;pu peñi ema ;hermanos míos;3;53
;votùm ema  ;Hijos míos;3;58
;pu peñi ema ;hermanos míos;3;62
;pu peñi ema ;hermanos míos;3;63
;votùm ema ;Hijos míos;3;68
;votùm ema ;HIjos míos;3;70
;votùm ema ;Hijos míos;3;73
;dios ema  ;Dios mío;3;73
;Iesu christo ema  ;Nuestro Señor Jesucristo;3;73
;pu peñi ema ;Hermanos míos;3;74
;christo ema  ;Nuestro Señor Jesucristo;3;75
;peñi ema ;Hermanos míos;3;75
;dios ema ;;3;Febres 90
;vurenievoe ema  ;;3;Febres 187
;cuthanyevoe ema  ;;3;Febres 187
;maria ema  ;;3;Febres 187
;dios ema   ;;3;Febres 188
;chao ema   ;;3;Febres 188
;dios ema  ;;3;Febres 188
;dios ema  ;;3;Febres 188
;chao ema ;;3;Febres 188
;dios ema  ;;3;Febres 204
;dios ema  ;;3;Febres 211
;chao ema  ;;3;Febres 211
;dios ema      ;;3;Febres 222
;peñi ema  ;;3;Febres 258
;vochùm ema ;;3;Febres 258
;peñi ema ;;3;Febres 287
;votm ema ;Hijo mío;3;NA
;votm ema ;Hijo mío;3;NA
;votm ema ;Hijo mío;3;NA
;dios ema ;Dios mío;3;NA
;A dios ema ;A mi dios;3;NA
