;Mapudungun;Español;Significado;Página;Forma
;  LLancùilican em ;  O LLancùilican charissime;3;;em
;Patiru ema!;NA;3;;ema
;pu peñi ema, pu lamúen ema;NA;3;;ema
;burenievoe ema;NA;3;;ema
;cutanievoe ema;NA;3;;ema
;quimhuentunoluchi ullcha ema;NA;3;;ema
;Allcútumochi pu peni ema;NA;3;;ema
;Uncon em!;NA (Patrón);3;561;em
;Montulvoe em!;NA (Salvador);3;575;em
;Chao em!;NA (Padre);3;575;em
;nahue em!;NA;3;578;em
;Nuque em!;NA;3;578;em
;Esposa em!;NA;3;578;em
;Duamtumn veula pu peni em;NA;3;587;em
;inche em!;o me miserum;4;89;em/ema
;papai em!;(filius matrem vocat);3;90;em/ema
;aiuel em;NA(querido/a);3;90;em/ema
;Patiru em!;o Pater mi!;3;90;em/ema
;gebui em vachi dgu;sic erat olim in seculo illo aureo;?;90;em/ema
;calcu em;magus antiquus;2;90;em/ema
;cona em;miles veteranus;2;90;em/ema
;ovisa em!;o quanta ovium multitudo!;3;90;em/ema
;cume tipantu em!;o annum felicem faustumque!;3;90;em/ema
;cumei em ta DIOS;o quam bonus est DEUS!;3;90;em/ema
;Mapu em!;o dilecta Patria;3;90;em/ema
;Votm em;Filiole;3;90;em/ema
;Patiru em;plurimum dilecte Pater;3;90;em/ema
;atún em;nonnihil defatigatus sum;3;90;em/ema
;Dios Patiru em!;NA(Dios padre);3;186;em
;Pu chagllcuú uüaulaign em!;nec pares digiti, nec pares ingenio aut virtute fratres;?;279;em
;Cúpa piluan em!;obsurdesco, aurium sensu deficior, auditus me deficit, deserit;5;294;em
;allcúduamquelan em!;obsurdesco, aurium sensu deficior, auditus me deficit, deserit;5;294;em
;eimi ni retú em!;tu mihi pro scipione es;3;295;em
;Vachi macun mo aldún tipantu taucuge em!;utinam vesti superstes sis,  & valeas;5;298;em
;úto peumagen em!;nihil stabile sum expertus, inconstante semper fortuna usus;5;332;em
;hueragei veichi rpu em !;viam suscepisti satis incomodam;?;371;em
;huele duamn em!;Oleum & operam perdidi;5;427;em
;taftueneu em!;os mihi obvertit;5;434;em
;laian em! Pii;moriendi tempus jam instare;5;462; em
;lalcanu ni vúcha em!;maritus mihi morte sublatus est;1;465;em
;A aiúelchi chao em;O dilecte genitor;3;39;em
;notumiauleneu huera que dgu em;plurima mihi damna intulit;5;;em
;cucuem;Mea domina avia;1;220;em
;gümabun em;NA(lloré mucho);?;220;em
;lemlaian em;non sum, sum impar;?;235;em
;Quintulican em!;O chare quintulican;3;238;em
;Peabun em;quam istud videre velim;?;272;em
;uduamgechi tuaeimu lan em;NA(??);?;474;em
;Vachi antú mo lahue cuse cúyen cútu vill laiai pu cuse em;deinceps usque ad Augustum omnes vetula de vida decedent;3;477;em
;calcu em;Veneficus veteranus, emeritus, antiquus;2;479;em
